"Month","Drywhite","Red","Sparkling"
"1987-01",2138,814,1389
"1987-02",2419,1150,1442
"1987-03",2622,1225,1548
"1987-04",2912,1691,1935
"1987-05",2708,1759,1518
"1987-06",2798,1754,1250
"1987-07",3254,2100,1847
"1987-08",2895,2062,1930
"1987-09",3263,2012,2638
"1987-10",3736,1897,3114
"1987-11",4077,1964,4405
"1987-12",4097,2186,7242
"1988-01",2175,966,1853
"1988-02",3138,1549,1779
"1988-03",2823,1538,2108
"1988-04",2498,1612,2336
"1988-05",2822,2078,1728
"1988-06",2738,2137,1661
"1988-07",4137,2907,2230
"1988-08",3515,2249,1645
"1988-09",3785,1883,2421
"1988-10",3632,1739,3740
"1988-11",4504,1828,4988
"1988-12",4451,1868,6757
"1989-01",2550,1138,1757
"1989-02",2867,1430,1394
"1989-03",3458,1809,1982
"1989-04",2961,1763,1650
"1989-05",3163,2200,1654
"1989-06",2880,2067,1406
"1989-07",3331,2503,1971
"1989-08",3062,2141,1968
"1989-09",3534,2103,2608
"1989-10",3622,1972,3845
"1989-11",4464,2181,4514
"1989-12",5411,2344,6694
"1990-01",2564,970,1720
"1990-02",2820,1199,1321
"1990-03",3508,1718,1859
"1990-04",3088,1683,1628
"1990-05",3299,2025,1615
"1990-06",2939,2051,1457
"1990-07",3320,2439,1899
"1990-08",3418,2353,1605
"1990-09",3604,2230,2424
"1990-10",3495,1852,3116
"1990-11",4163,2147,4286
"1990-12",4882,2286,6047
"1991-01",2211,1007,1902
"1991-02",3260,1665,2049
"1991-03",2992,1642,1874
"1991-04",2425,1518,1279
"1991-05",2707,1831,1432
"1991-06",3244,2207,1540
"1991-07",3965,2822,2214
"1991-08",3315,2393,1857
"1991-09",3333,2306,2408
"1991-10",3583,1785,3252
"1991-11",4021,2047,3627
"1991-12",4904,2171,6153
"1992-01",2252,1212,1577
"1992-02",2952,1335,1667
"1992-03",3573,2011,1993
"1992-04",3048,1860,1997
"1992-05",3059,1954,1783
"1992-06",2731,2152,1625
"1992-07",3563,2835,2076
"1992-08",3092,2224,1773
"1992-09",3478,2182,2377
"1992-10",3478,1992,3088
"1992-11",4308,2389,4096
"1992-12",5029,2724,6119
"1993-01",2075,891,1494
"1993-02",3264,1247,1564
"1993-03",3308,2017,1898
"1993-04",3688,2257,2121
"1993-05",3136,2255,1831
"1993-06",2824,2255,1515
"1993-07",3644,3057,2048
"1993-08",4694,3330,2795
"1993-09",2914,1896,1749
"1993-10",3686,2096,3339
"1993-11",4358,2374,4227
"1993-12",5587,2535,6410
"1994-01",2265,1041,1197
"1994-02",3685,1728,1968
"1994-03",3754,2201,1720
"1994-04",3708,2455,1725
"1994-05",3210,2204,1674
"1994-06",3517,2660,1693
"1994-07",3905,3670,2031
"1994-08",3670,2665,1495
"1994-09",4221,2639,2968
"1994-10",4404,2226,3385
"1994-11",5086,2586,3729
"1994-12",5725,2684,5999
"1995-01",2367,1185,1070
"1995-02",3819,1749,1402
"1995-03",4067,2459,1897
"1995-04",4022,2618,1862
"1995-05",3937,2585,1670
"1995-06",4365,3310,1688
"1995-07",4290,3923,2031

Monthly Australian wine sales: thousands of litres. By wine makers in bottles <= 1 litre.

